Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,UNSD Geographical Grouping
Incident,2014,January,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,January,Northern Africa,Europe,Sudan,1.0,0,1,2,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Northern Europe
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,January,Unknown,Mediterranean,"Afghanistan,Syrian Arab Republic",12.0,0,12,0,9,0,3,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Southern Asia,Europe,Iran (Islamic Republic of),1.0,0,1,2,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,January,Caribbean,Caribbean,Haiti,1.0,0,1,0,0,1,1,Drowning,Caribbean to US,Caribbean
Cumulative Incident,2014,February,South-eastern Asia,South-eastern Asia,Myanmar,5.0,0,5,500,0,5,0,Sickness / lack of access to adequate healthcare,,South-eastern Asia
Incident,2014,February,Unknown,Mediterranean,"Cameroon,Unknown",15.0,0,15,0,0,1,0,Violence,Western Mediterranean,Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,2.0,0,2,121,0,2,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Central America,North America,Mexico,1.0,0,1,2,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,February,Caribbean,Caribbean,Haiti,8.0,0,8,0,0,0,0,Drowning,Haiti to Dominican Republic,Caribbean
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Southern Asia,Southern Asia,Bangladesh,1.0,0,1,0,0,1,0,Violence,,Southern Asia
Incident,2014,February,Eastern Africa,Eastern Africa,Ethiopia,11.0,6,17,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Uncategorized
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,7.0,0,7,0,0,0,0,Violence,Central Mediterranean,Uncategorized
Incident,2014,March,Central America,North America,Guatemala,1.0,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,March,Europe,Europe,Albania,1.0,0,1,0,0,1,0,Violence,English Channel to the UK,Western Europe
Incident,2014,March,Southern Asia,South-eastern Asia,Cambodia,5.0,0,5,4,2,3,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,March,Southern Asia,South-eastern Asia,Myanmar,2.0,0,2,10,0,2,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,March,South America,Central America,Ecuador,1.0,0,1,0,1,0,1,Violence,US-Mexico border crossing,Central America
Incident,2014,March,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",1.0,43,44,33,1,0,3,Drowning,Horn of Africa to Yemen crossing,Uncategorized
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,March,Central America,North America,El Salvador,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1.0,0,1,0,0,1,0,Mixed or unknown,English Channel to the UK,Western Europe
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1.0,0,1,2,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Uncategorized
Incident,2014,March,Western Asia,Mediterranean,Syrian Arab Republic,7.0,2,9,8,1,1,1,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,March,Middle Africa,Eastern Africa,Congo,251.0,0,251,50,0,0,0,Drowning,,Eastern Africa
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Central America,Central America,Guatemala,1.0,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Central America,North America,El Salvador,1.0,0,1,0,0,1,0,Accidental death,US-Mexico border crossing,Northern America
Incident,2014,April,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Eastern Africa,Eastern Africa,Zimbabwe,17.0,0,17,0,0,0,0,Drowning,,Eastern Africa
Incident,2014,April,Unknown,Mediterranean,Unknown,1.0,0,1,661,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Split Incident,2014,April,Eastern Africa,Northern Africa,"Eritrea,Ethiopia,Sudan,Unknown",10.0,0,10,309,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2014,April,Western Asia,Mediterranean,Syrian Arab Republic,8.0,1,9,5,2,0,1,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,April,Central America,Central America,"Honduras,Mexico",4.0,0,4,3,0,0,0,Violence,,Central America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Eastern Asia,South-eastern Asia,China,5.0,0,5,0,0,0,0,Violence,,South-eastern Asia
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Southern Asia,South-eastern Asia,Cambodia,7.0,0,7,7,2,5,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,April,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,April,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,April,Eastern Africa,Mediterranean,Somalia,0.0,40,40,1,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Caribbean,Caribbean,Unknown,6.0,3,9,16,0,0,0,Drowning,,Caribbean
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Eastern Africa,Mediterranean,"Eritrea,Ethiopia,Somalia",4.0,0,4,80,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,May,Eastern Africa,Europe,Eritrea,1.0,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,May,Unknown,Mediterranean,Unknown,22.0,7,29,36,0,0,0,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,44.0,33,77,53,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,May,Eastern Africa,Mediterranean,Eritrea,1.0,0,1,0,0,1,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Southern Asia,South-eastern Asia,Myanmar,1.0,0,1,17,0,0,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,May,Western Africa,Northern Africa,Niger,13.0,33,46,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,17.0,200,217,226,12,2,3,Drowning,Central Mediterranean,Uncategorized
Incident,2014,May,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Southern Asia,Mediterranean,Afghanistan,1.0,0,1,0,0,1,1,Accidental death,Eastern Mediterranean,Uncategorized
Incident,2014,May,Northern Africa,Europe,Sudan,1.0,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",62.0,0,62,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,3.0,0,3,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Middle Africa,Mediterranean,Central African Republic,4.0,0,4,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,June,Unknown,Mediterranean,Unknown,3.0,2,5,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,10.0,0,10,39,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,June,Southern Asia,South-eastern Asia,Cambodia,6.0,0,6,13,5,1,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,June,Western Asia,Mediterranean,Syrian Arab Republic,1.0,0,1,356,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,June,Southern Asia,South-eastern Asia,Cambodia,2.0,0,2,16,1,1,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,June,Unknown,Northern Africa,Unknown,0.0,29,29,0,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,4.0,0,4,0,0,0,0,Violence,Western Mediterranean,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,June,Southern Asia,South-eastern Asia,Indonesia,9.0,26,35,62,1,8,1,Drowning,,South-eastern Asia
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,June,Eastern Africa,Mediterranean,Eritrea,0.0,240,240,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Split Incident,2014,June,Western Asia,Mediterranean,"Morocco,Syrian Arab Republic,Unknown",2.0,4,6,0,0,4,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,June,Unknown,Mediterranean,"Cameroon,Somalia,Syrian Arab Republic",45.0,0,45,566,0,45,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Uncategorized
Incident,2014,July,Unknown,Mediterranean,Unknown,0.0,75,75,27,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Unknown,Mediterranean,,13.0,0,13,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Split Incident,2014,July,Western Asia,Mediterranean,"Eritrea,Syrian Arab Republic,Unknown",12.0,188,200,0,1,0,2,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Central America,North America,El Salvador,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Unknown,Mediterranean,Unknown,4.0,21,25,13,1,2,1,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,July,Central America,North America,El Salvador,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Unknown,Mediterranean,Unknown,12.0,0,12,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Central America,North America,Guatemala,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Unknown,Mediterranean,Unknown,1.0,109,110,12,1,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Southern Asia,South-eastern Asia,Indonesia,2.0,18,20,60,0,0,0,Drowning,,South-eastern Asia
Incident,2014,July,Unknown,Mediterranean,Unknown,3.0,0,3,90,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Sub-Saharan Africa (P),Mediterranean,Unknown,0.0,41,41,61,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Central America,North America,Guatemala,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Mixed,Mediterranean,"Egypt,Syrian Arab Republic",2.0,53,55,1,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Unknown,Mediterranean,Unknown,3.0,0,3,104,0,0,0,Drowning,Central Mediterranean,Uncategorized
Split Incident,2014,July,Sub-Saharan Africa (P),Mediterranean,Unknown,29.0,151,180,569,0,0,1,"Drowning,Mixed or unknown",Central Mediterranean,Uncategorized
Incident,2014,July,Unknown,Mediterranean,Unknown,5.0,14,19,61,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Eastern Africa,Europe,Eritrea,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Northern Europe
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Sub-Saharan Africa (P),Mediterranean,Unknown,20.0,108,128,22,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,July,Central America,North America,Mexico,1.0,0,1,0,0,1,1,Accidental death,US-Mexico border crossing,Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2014,July,Western / Southern Asia (P),Southern Asia,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Southern Asia
Incident,2014,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,August,Western Asia,Mediterranean,Syrian Arab Republic,2.0,170,172,200,1,0,1,Drowning,Central Mediterranean,Uncategorized
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Southern Asia,Europe,Afghanistan,1.0,0,1,34,0,1,0,Violence,English Channel to the UK,Northern Europe
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,August,Sub-Saharan Africa (P),Mediterranean,Unknown,170.0,81,251,19,0,0,1,Drowning,Central Mediterranean,Uncategorized
Incident,2014,August,Unknown,Mediterranean,"Côte d'Ivoire,Eritrea,Guinea,Libya,Mali,Palestinian Territories,Somalia,Sudan,Syrian Arab Republic",18.0,8,26,73,0,26,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,August,Caribbean,Caribbean,Cuba,4.0,5,9,0,0,4,0,Drowning,Caribbean to US,Caribbean
Incident,2014,August,Unknown,Mediterranean,Unknown,24.0,0,24,364,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,August,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,August,Caribbean,Caribbean,Haiti,1.0,0,1,19,1,0,0,Drowning,Caribbean to US,Caribbean
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Caribbean,Caribbean,"Dominican Republic,Haiti",0.0,23,23,0,0,0,0,Drowning,,Caribbean
Cumulative Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,44.0,0,44,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,August,Caribbean,Caribbean,Cuba,11.0,6,17,15,1,1,1,Mixed or unknown,,Caribbean
Incident,2014,August,Western Asia,Mediterranean,Syrian Arab Republic,42.0,0,42,0,8,0,5,Drowning,Central Mediterranean,Uncategorized
Incident,2014,August,Unknown,Mediterranean,,0.0,100,100,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2014,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2014,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Cumulative Incident,2014,August,Central America,Central America,El Salvador,64.0,0,64,0,0,0,0,Mixed or unknown,,Central America
Incident,2014,September,Caribbean,Central America,Cuba,2.0,0,2,17,0,0,0,Drowning,,Central America
Incident,2014,September,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,September,Central America,Central America,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2014,September,Eastern Asia,Eastern Asia,China,0.0,9,9,1,0,0,0,Drowning,,Eastern Asia
